sifrao,nazivo
03211700-0,Slad
03211900-2,Proizvodi od žitarica
03212000-0,Krompir i sušeno povræe
03212100-1,Krompir
03212200-2,Sušeno mahunasto povræe i zrna mahunarki
03212210-5,Sušeno mahunasto povræe
03212211-2,Soèivo
03212212-9,Slanutak
03212213-6,Suvi grašak
03212220-8,Zrna mahunarki
03220000-9,"Povræe, voæe i koštunjavo voæe"
03221000-6,Povræe
03221100-7,Korenasto i krtolasto povræe
03221110-0,Korenasto povræe
03221111-7,Cvekla
03221112-4,Šargarepa
03221113-1,Crni luk
03221114-8,Repa
03221120-3,Krtolasto povræe
03221200-8,Povræe sa plodovima
03221210-1,Pasulj
03221211-8,Bob
03221212-5,Boranija
03221213-2,Fažola
03221220-4,Grašak
03221221-1,Baštenski grašak
03221222-8,Mahunasti pasulj
03221230-7,Paprika
03221240-0,Paradajz
03221250-3,Tikvice
03221260-6,Peèurke
03221270-9,Krastavac
03221300-9,Lisnato povræe
03221310-2,Zelena salata
03221320-5,Listovi salate
03221330-8,Artièoka
03221340-1,Spanaæ
03221400-0,Kupusnjaèe
03221410-3,Kupus
03221420-6,Karfiol
03221430-9,Brokoli
03221440-2,Prokelj
03222000-3,Voæe i koštunjavo voæe
03222100-4,Tropsko voæe i koštunjavo voæe
03222110-7,Tropsko voæe
03222111-4,Banane
03222112-1,Ananas
03222113-8,Mango
03222114-5,Urme
03222115-2,Suvo grožðe
03222116-9,Smokve
03222117-6,Avokado
03222118-3,Kivi
03222120-0,Kokosov orah
03222200-5,Agrumi
03222210-8,Limun
03222220-1,Pomorandže
03222230-4,Grejpfrut
03222240-7,Mandarine
03222250-0,Limeta
03222300-6,Netropsko voæe
03222310-9,Bobièasto voæe
03222311-6,Ribizle
03222312-3,Ogrozd
03222313-0,Jagode
03222314-7,Maline
03222315-4,Brusnice
03222320-2,"Jabuke, kruške i dunje"
03222321-9,Jabuke
03222322-6,Kruške
03222323-3,Dunje
03222330-5,Koštunièavo voæe
03222331-2,Kajsije
03222332-9,Breskve
03222333-6,Trešnje i višnje
03222334-3,Šljive
03222340-8,Grožðe
03222341-5,Stono grožðe
03222342-2,Vinsko grožðe
03222400-7,Masline
03300000-2,"Proizvodi stoèarstva, lova i ribolova"
03310000-5,"Ribe, ljuskari i proizvodi iz vodenih sredina"
03311000-2,Ribe
03311100-3,Riba pljosnatica
03311110-6,Riba list
03311120-9,Riba iverak
03311200-4,Ribe iz porodice bakalara
03311210-7,Bakalar
03311220-0,Kolja bakalar
03311230-3,Osliæ
03311240-6,Vahnja
03311300-5,Haringa
03311400-6,Tuna
03311500-7,Pišmolj
03311600-8,Bela riba (kesega)
03311700-9,Losos
03312000-9,Ljuskari
03312100-0,Kamenice
03312200-1,"Ljušturar (ostriga, rakovica)"
03312300-2,Vodeni beskièmenjaci
03313000-6,Proizvodi iz vodenih sredina
03313100-7,Korali ili slièni proizvodi
03313200-8,Prirodni sunðeri
03313300-9,Morska trava
03313310-2,Alge
03320000-8,"Stoka, ostale životinje poljoprivrednog gazdinstva i sitne životinje"
03321000-5,Stoka
03321100-6,Goveda
03321200-7,Telad
03322000-2,Ostale životinje poljoprivrednog gazdinstva osim stoke
03322100-3,Ovce
03322200-4,Koze
03322300-5,Konji
03323000-9,Svinje
03324000-6,Živa živina
03325000-3,Sitne životinje
03325100-4,Kuniæi
03325200-5,Zeèevi
03330000-3,Proizvodi od životinja poljoprivrednog gazdinstva
03331000-0,Sveže ovèije i kozije mleko
03331100-1,Ovèije mleko
03331200-2,Kozije mleko
03332000-7,Vuna i životinjska dlaka
03332100-8,Strižena vuna
03332200-9,Životinjska dlaka
03333000-4,Sveže kravlje mleko
03340000-6,Ušne markice za životinje
03341000-3,Ušne markice za goveda
03400000-4,Proizvodi šumarstva i seèe drva
03410000-7,Drvo
03411000-4,Èetinarsko drvo
03412000-1,Tropsko drvo
03413000-8,Drvo za ogrev
03414000-5,Sirovo drvo
03415000-2,Meko drvo
03416000-9,Drvni otpad
03417000-6,Drvni ostaci
03417100-7,Piljevina
03418000-3,"Trupci, oblice"
03418100-4,Tvrdo drvo
03419000-0,Drvna graða
03419100-1,Proizvodi od drvne graðe
03419200-2,Drveni podupiraèi za rudarska okna
03420000-0,Smole
03421000-7,Balzami
03422000-4,Šelak
03430000-3,Pluta
03431000-0,Prirodna pluta
03432000-7,Korparski proizvodi
03432100-8,Pletarski proizvodi
03440000-6,Proizvodi šumarstva
03441000-3,"Ukrasne biljke, trava, mahovina i lišajevi"
03450000-9,Proizvodi rasadnika za drveæe
03451000-6,Biljke
03451100-7,Sadnice
03451200-8,Lukovice cveæa
03451300-9,Žbunje
03452000-3,Drveæe
03460000-2,Celuloza
03461000-9,Drvna celuloza
03461100-0,Hemijska drvna celuloza
09000000-3,"Naftni derivati, gorivo, elektrièna energija i drugi izvori energije"
09100000-0,Goriva
09110000-3,Èvrsta goriva
09111000-0,Ugalj i goriva na bazi uglja
09111100-1,Ugalj
09111200-2,Goriva na bazi uglja
09111210-5,Antracit
09111220-8,Briketi
09111300-3,Fosilna goriva
09111400-4,Goriva na bazi drveta
09112000-7,Lignit i treset
09112100-8,Lignit
09112200-9,Treset
09113000-4,Koks
09120000-6,Gasovita goriva
09121000-3,"Gas od kamenog uglja, gas za gasovodnu mrežu ili slièni gasovi"
09121100-4,Gas od kamenog uglja ili slièni gasovi
09121200-5,Gas za gasovodnu mrežu
09122000-0,Propan i butan
09122100-1,Propan gas
09122110-4,Teèni propan gas
09122200-2,Butan gas
09122210-5,Teèni butan gas
09123000-7,Prirodni gas
09130000-9,Nafta i destilati
09131000-6,Avionski kerozin
09131100-7,Gorivo tipa kerozina za mlazne avione
09132000-3,Benzin
09132100-4,Bezolovni benzin
09132200-5,Olovni benzin
09132300-6,Benzin sa etanolom
09133000-0,Teèni naftni gas (LPG)
09134000-7,Gasna ulja
09134100-8,Dizel ulje
09134200-9,Dizel gorivo
09134210-2,"Dizel gorivo (0,2)"
09134220-5,Dizel gorivo (EN 590)
09134230-8,Biodizel
09134231-5,Biodizel (B20)
09134232-2,Biodizel (B100)
09135000-4,Ulja za loženje
09135100-5,Lož ulje
09135110-8,Zapaljiva ulja sa niskim procentom sumpora
09200000-1,"Proizvodi od nafte, uglja i ulja"
09210000-4,Preparati za podmazivanje
09211000-1,Ulja za podmazivanje i sredstva za podmazivanje
09211100-2,Motorna ulja
09211200-3,Ulja za podmazivanje kompresora
09211300-4,Ulja za podmazivanje turbina
09211400-5,Ulja za menjaèe
09211500-6,Ulja za reduktore
09211600-7,Ulja za hidrauliène sisteme i druge namene
09211610-0,Teènosti za hidrauliku
09211620-3,Ulja za odvajanje kalupa
09211630-6,Ulja za spreèavanje korozije
09211640-9,Elektroizolaciona ulja
09211650-2,Teènosti za koènice
09211700-8,Bela ulja i teèni parafin
09211710-1,Bela ulja
09211720-4,Teèni parafin
09211800-9,Naftna ulja i preparati
09211810-2,Laka ulja
09211820-5,Naftna ulja
09211900-0,Ulja za podmazivanje za vuèu
09220000-7,"Vazelin, voskovi i specijalni benzini"
09221000-4,Vazelin i voskovi
09221100-5,Vazelin
09221200-6,Parafinski vosak
09221300-7,Vosak od nafte
09221400-8,Ostaci od prerade nafte
09222000-1,Specijalni benzini
09222100-2,Vajt špirit
09230000-0,Nafta (sirova)
09240000-3,Proizvodi od nafte i uglja
09241000-0,Bitumenozni ili uljni škriljci
09242000-7,Proizvodi od uglja
09242100-8,Petrolej
09300000-2,"Elektrièna energija, energija za grejanje, solarna i nuklearna energija"
09310000-5,Elektrièna energija
09320000-8,"Para, topla voda i srodni proizvodi"
09321000-5,Topla voda
09322000-2,Para
09323000-9,Centralno grejanje
09324000-6,Daljinsko grejanje
09330000-1,Solarna energija
09331000-8,Solarne ploèe
09331100-9,Solarni kolektori za proizvodnju toplote
09331200-0,Solarni fotonaponski moduli
09332000-5,Instalacije za solarnu energiju
09340000-4,Nuklearna goriva
09341000-1,Uranijum
09342000-8,Plutonijum
09343000-5,Radioaktivni materijali
09344000-2,Radioizotopi
14000000-1,"Rudarstvo, prosti metali i prateæi proizvodi"
14200000-3,Pesak i glina
14210000-6,"Šljunak, pesak, drobljeni kamen i agregati"
14211000-3,Pesak
14211100-4,Prirodni pesak
14212000-0,"Granule, odlomci od kamena, kamen u prahu, obluci, šljunak, lomljen i drob. kamen, mešav. kamena, meš. peska i šljunka i dr. Agregati"
14212100-1,Obluci i šljunak
14212110-4,Obluci
14212120-7,Šljunak
14212200-2,Agregati
14212210-5,Mešavina peska i šljunka
14212300-3,Lomljen i drobljen kamen
14212310-6,Kamen za nasipanje
14212320-9,Drobljeni granit
14212330-2,Drobljeni bazalt
14212400-4,Zemlja
14212410-7,Površinski sloj zemlje
14212420-0,Sloj zemlje ispod površinskog sloja
14212430-3,Odlomci od kamena
14213000-7,"Makadam, katranski makadam (ter makadam) i katranski pesak"
14213100-8,Makadam
14213200-9,Katranski makadam (ter makadam)
14213300-0,Katranski pesak
14220000-9,Glina i kaolin
14221000-6,Glina
14222000-3,Kaolin
14300000-4,Minerali za hemijsku industriju i veštaèka ðubriva
14310000-7,Minerali za veštaèka ðubriva
14311000-4,"Prirodni kalcijum, aluminijum-kalcijum fosfati i sirove prirodne soli kalijuma"
14311100-5,Prirodni kalcijum
14311200-6,Aluminijum-kalcijum fosfati
14311300-7,Sirove prirodne soli kalijuma
14312000-1,Piriti gvožða
14312100-2,Neprženi piriti gvožða
14320000-0,Minerali za hemijsku industriju
14400000-5,So i èisti natrijum hlorid
14410000-8,Kamena so
14420000-1,Morska so
14430000-4,Evaporisana so i èisti natrijum hlorid
14450000-0,So u salamuri
14500000-6,Proizvodi srodni rudarstvu i eksploataciji kamena
14520000-2,"Drago i poludrago kamenje, plovuæac, sitnozrni korund, prirodni abrazivi, drugi minerali i plemeniti metali"
14521000-9,Drago i poludrago kamenje
14521100-0,Drago kamenje
14521140-2,Prašina ili prah od dragog kamenja
14521200-1,Poludrago kamenje
14521210-4,Prašina ili prah od poludragog kamenja
14522000-6,"Industrijski dijamanti, plovuæac, sitnozrni korund i drugi prirodni abrazivi"
14522100-7,Plovuæac
14522200-8,Industrijski dijamanti
14522300-9,Sitnozrni korund
14522400-0,Prirodni abrazivi
14523000-3,"Srodni minerali, plemeniti metali i proizvodi s njima u vezi"
14523100-4,Minerali
14523200-5,Zlato
14523300-6,Srebro
14523400-7,Platina
14600000-7,Rude i legure metala
14610000-0,Rude metala
14611000-7,Rude gvožða
14612000-4,Rude obojenih metala
14612100-5,Rude bakra
14612200-6,Rude nikla
14612300-7,Rude aluminijuma
14612400-8,Rude plemenitih metala
14612500-9,Rude olova
14612600-0,Rude cinka
14612700-1,Rude kalaja
14613000-1,Rude urana i torijuma
14613100-2,Rude urana
14613200-3,Rude torijuma
14614000-8,Razne rude
14620000-3,Legure
14621000-0,Ferolegure
14621100-1,Ferolegure osim ECSC
14621110-4,Feromangan
14621120-7,Ferohrom
14621130-0,Feronikl
14622000-7,Èelik
14630000-6,"Zgura, šljaka, otpaci i ostaci od gvožða"
14700000-8,Prosti metali
14710000-1,"Gvožðe, olovo, cink, kalaj i bakar"
14711000-8,Gvožðe
14711100-9,Sirovo gvožðe
14712000-5,Olovo
14713000-2,Cink
14714000-9,Kalaj
14715000-6,Bakar
14720000-4,"Aluminijum, nikl, skandijum, titan i vanadijum"
14721000-1,Aluminijum
14721100-2,Aluminijum oksid
14722000-8,Nikl
14723000-5,Skandijum
14724000-2,Titan
14725000-9,Vanadijum
14730000-7,"Hrom, mangan, kobalt, itrijum i cirkonijum"
14731000-4,Hrom
14732000-1,Mangan
14733000-8,Kobalt
14734000-5,Itrijum
14735000-2,Cirkonijum
14740000-0,"Molibden, tehnicijum, rutenijum i rodijum"
14741000-7,Molibden
14742000-4,Tehnicijum
14743000-1,Rutenijum
14744000-8,Rodijum
14750000-3,"Kadmijum, lutecijum, hafnijum, tantal i volfram"
14751000-0,Kadmijum
14752000-7,Lutecijum
14753000-4,Hafnijum
14754000-1,Tantal
14755000-8,Volfram
14760000-6,"Iridijum, galijum, indijum, talijum i barijum"
14761000-3,Iridijum
14762000-0,Galijum
14763000-7,Indijum
14764000-4,Talijum
14765000-1,Barijum
14770000-9,"Cezijum, stroncijum, rubidijum i kalcijum"
14771000-6,Cezijum
14772000-3,Stroncijum
14773000-0,Rubidijum
14774000-7,Kalcijum
14780000-2,"Kalijum, magnezijum, natrijum i litijum"
14781000-9,Kalijum
14782000-6,Magnezijum
14783000-3,Natrijum
14784000-0,Litijum
14790000-5,"Niobijum, osmijum, renijum i paladijum"
14791000-2,Niobijum
14792000-9,Osmijum
14793000-6,Renijum
14794000-3,Paladijum
14800000-9,Razni nemetalni mineralni proizvodi
14810000-2,Abrazivni proizvodi (abrazivi)
14811000-9,"Mlinski kamen, brusni kamen i brusna ploèa"
14811100-0,Mlinski kamen
14811200-1,Brusni kamen
14811300-2,Brusne ploèe
14812000-6,Abrazivni materijali u prahu ili zrnu
14813000-3,Veštaèki korund
14814000-0,Veštaèki grafit
14820000-5,Staklo
14830000-8,Fiberglas
14900000-0,Obnovljene sekundarne sirovine
14910000-3,Obnovljene metalne sekundarne sirovine
14920000-6,Obnovljene nemetalne sekundarne sirovine
14930000-9,Pepeo i ostaci koji sadrže metale
15000000-8,"Hrana, piæe, duvan i srodni proizvodi"
15100000-9,"Proizvodi životinjskog porekla, meso i mesni proizvodi"
15110000-2,Meso
15111000-9,Goveðe meso
15111100-0,Junetina
15111200-1,Teletina
15112000-6,Živinsko meso
15112100-7,Sveže živinsko meso
15112110-0,Gušèje meso
15112120-3,Æureæe meso
15112130-6,Pileæe meso
15112140-9,Paèije meso
15112300-9,Živinska džigerica
15112310-2,Gušèija džigerica
15113000-3,Svinjetina
15114000-0,Iznutrice
15115000-7,Jagnjetina i ovèetina
15115100-8,Jagnjetina
15115200-9,Ovèetina
15117000-1,Kozije meso
15118000-8,"Konjsko meso, magareæe meso, meso mula ili mazgi"
15118100-9,Konjsko meso
15118900-7,"Magareæe meso, meso mula ili mazgi"
15119000-5,Razna mesa
15119100-6,Meso kuniæa
15119200-7,Zeèije meso
15119300-8,Divljaè
15119400-9,Žablji bataci
15119500-0,Golubije meso
15119600-1,Riblje meso
15130000-8,Mesni proizvodi
15131000-5,Konzervisano meso i mesne preraðevine
15131100-6,Proizvodi od mesa za kobasice
15131110-9,Meso za kobasice
15131120-2,Kobasièarski proizvodi
15131130-5,Kobasice
15131134-3,Krvavice i druge kobasice od krvi
15131135-0,Živinske kobasice
15131200-7,"Sušeno, usoljeno, dimljeno ili zaèinjeno meso"
15131210-0,Dimljeni but
15131220-3,Slanina
15131230-6,Salama
15131300-8,Preraðevine od džigerice
15131310-1,Pašteta
15131320-4,Preraðevine od gušèije ili paèije džigerice
15131400-9,Proizvodi od svinjetine
15131410-2,Šunka
15131420-5,Æufte
15131490-6,Gotova jela od svinjetine
15131500-0,Proizvodi od živinskog mesa
15131600-1,Proizvodi od juneæeg i teleæeg mesa
15131610-4,Juneæe æufte
15131620-7,Mlevena junetina
15131640-3,Juneæe pljeskavice
15131700-2,Mesne preraðevine
15200000-0,Pripremljena i konzervisana riba
15210000-3,"Riblji fileti, riblja džigerica i ikra"
15211000-0,Riblji fileti
15211100-1,Sveži riblji fileti
15212000-7,Riblja ikra
15213000-4,Riblja džigerica
15220000-6,"Smrznuta riba, riblji fileti i ostalo riblje meso"
15221000-3,Smrznuta riba
15229000-9,Smrznuti riblji proizvodi
15230000-9,"Sušena ili usoljena riba, riba u salamuri, dimljena riba"
15231000-6,Sušena riba
15232000-3,Usoljena riba
15233000-0,Riba u salamuri
15234000-7,Dimljena riba
15235000-4,Konzervisana riba
15240000-2,Riba u konzervi i druga pripremljena ili konzervisana riba
15241000-9,Panirana riba i riba u konzervi
15241100-0,Losos u konzervi
15241200-1,Pripremljena ili konzervisana haringa
15241300-2,Sardine
15241400-3,Tuna u konzervi
15241500-4,Skuša
15241600-5,Inæuni
15241700-6,Riblji štapiæi
15241800-7,Panirane riblje preraðevine
15242000-6,Gotova riblja jela
15243000-3,Riblje preraðevine
15244000-0,Kavijar i riblja jaja
15244100-1,Kavijar
15244200-2,Riblja jaja
15250000-5,Plodovi mora
15251000-2,Smrznuti ljuskari
15252000-9,Pripremljeni ili konzervisani ljuskari
15253000-6,Proizvodi od školjaka
15300000-1,"Voæe, povræe i srodni proizvodi"
15310000-4,Krompir i proizvodi od krompira
15311000-1,Smrznuti krompir
15311100-2,Listiæi od krompira ili pomfrit
15311200-3,"Smrznuti krompir iseckan na kocke, kriške ili drugaèije"
15312000-8,Proizvodi od krompira
15312100-9,Instant krompir pire
15312200-0,Delimièno prženi listiæi od krompira
15312300-1,Èips
15312310-4,Aromatizovan èips
15312400-2,Grickalice od krompira
15312500-3,Kroketi od krompira
15313000-5,Preraðeni krompir
15320000-7,Sokovi od voæa i povræa
15321000-4,Voæni sokovi
15321100-5,Sok od pomorandže
15321200-6,Sok od grejpfruta
15321300-7,Sok od limuna
15321400-8,Sok od ananasa
15321500-9,Sok od grožða
15321600-0,Sok od jabuke
15321700-1,Mešavine nekoncentrisanih sokova
15321800-2,Koncentrisani sokovi
15322000-1,Sokovi od povræa
15322100-2,Sok od paradajza
15330000-0,Preraðeno voæe i povræe
15331000-7,Preraðeno povræe
15331100-8,Sveže i smrznuto povræe
15331110-1,Preraðeno korenasto povræe
15331120-4,Preraðeno krtolasto povræe
15331130-7,"Pasulj, grašak, paprike, paradajz i drugo povræe"
15331131-4,Preraðeni pasulj
15331132-1,Preraðeni grašak
15331133-8,Oèišæeni grašak
15331134-5,Preraðeni paradajz
15331135-2,Preraðene peèurke
15331136-9,Preraðene paprike
15331137-6,Sojine klice
15331138-3,Tartufi
15331140-0,Lisnato povræe i kupusnjaèe
15331142-4,Preraðeni kupus
15331150-3,Preraðena zrna mahunarki
15331170-9,Smrznuto povræe
15331400-1,Konzervisano povræe i/ili povræe u konzervi
15331410-4,Pasulj u sosu od paradajza
15331411-1,Prebranac
15331420-7,Konzervisani paradajz
15331423-8,Paradajz u konzervi
15331425-2,Paradajz pire
15331427-6,Koncentrisani paradajz pire
15331428-3,Paradajz sos
15331430-0,Peèurke u konzervi
15331450-6,Preraðene masline
15331460-9,Povræe u konzervi
15331461-6,Kiseli kupus u konzervi
15331462-3,Grašak u konzervi
15331463-0,Oljušteni pasulj u konzervi
15331464-7,Pasulj u zrnu u konzervi
15331465-4,Špargla u konzervi
15331466-1,Masline u konzervi
15331470-2,Kukuruz šeæerac
15331480-5,Privremeno konzervisano povræe
15331500-2,Povræe konzervisano u siræetu
15332000-4,Preraðeno voæe i jezgrasto voæe
15332100-5,Preraðeno voæe
15332140-7,Preraðene jabuke
15332150-0,Preraðene kruške
15332160-3,Preraðene banane
15332170-6,Rabarbara
15332180-9,Dinje i lubenice
15332200-6,"Džemovi i marmelade, voæni žele, pire i kaša od voæa i jezgrastog voæa"
15332230-5,Marmelade
15332231-2,Marmelada od pomorandže
15332232-9,Marmelada od limuna
15332240-8,Voæni žele
15332250-1,Voæne kaše
15332260-4,Paste od jezgrastog voæa
15332261-1,Puter od kikirikija
15332270-7,Voæni pire
15332290-3,Džemovi
15332291-0,Džem od kajsija
15332292-7,Džem od kupine
15332293-4,Džem od crne ribizle
15332294-1,Džem od višnje i trešnje
15332295-8,Džem od maline
15332296-5,Džem od jagode
15332300-7,Preraðeno jezgrasto voæe
15332310-0,Peèeno ili usoljeno jezgrasto voæe
15332400-8,Konzervisano voæe
15332410-1,Osušeno voæe
15332411-8,Preraðena ribizla
15332412-5,Preraðeno suvo grožðe
15332419-4,Sultanina (vrsta suvog grožða)
15333000-1,Nusproizvodi od povræa
15400000-2,Životinjska ili biljna ulja i masti
15410000-5,Nepreraðena životinjska ili biljna ulja i masti
15411000-2,Životinjska ili biljna ulja
15411100-3,Biljna ulja
15411110-6,Maslinovo ulje
15411120-9,Susamovo ulje
15411130-2,Ulje od kikirikija
15411140-5,Kokosovo ulje
15411200-4,Ulje za kuvanje
15411210-7,Ulje za prženje
15412000-9,Masti
15412100-0,Životinjske masti
15412200-1,Biljne masti
15413000-6,Ostaci biljnih masti ili ulja u èvrstom stanju
15413100-7,Uljane pogaèe
15420000-8,Rafinisana ulja i masti
15421000-5,Rafinisana ulja
15422000-2,Rafinisane masti
15423000-9,Hidrogenizovana ili esterifikovana ulja ili masti
15424000-6,Biljni voskovi
15430000-1,Jestive masti
15431000-8,Margarin i slièni proizvodi
15431100-9,Margarin
15431110-2,Teèni margarin
15431200-0,Namazi sa sniženim ili niskim procentom masnoæe
15500000-3,Mleèni proizvodi
15510000-6,Mleko i pavlaka
15511000-3,Mleko
15511100-4,Pasterizovano mleko
15511200-5,Sterilizovano mleko
15511210-8,Dugotrajno (UHT) mleko
15511300-6,Obrano mleko
15511400-7,Delimièno obrano mleko
15511500-8,Punomasno mleko
15511600-9,Kondenzovano mleko
15511700-0,Mleko u prahu
15512000-0,Pavlaka
15512100-1,Pavlaka sa niskim procentom masnoæe
15512200-2,Pavlaka sa visokim procentom masnoæe
15512300-3,Gusta pavlaka
15512900-9,Slatka pavlaka
15530000-2,Maslac
15540000-5,Sirevi
15541000-2,Stoni sir
15542000-9,Mladi sir
15542100-0,Beli meki sir
15542200-1,Meki sir
15542300-2,Feta sir
15543000-6,"Rendani sir, sir u prahu, sir sa plavom plesni i drugi sirevi"
15543100-7,Plavi sirevi
15543200-8,Èedar sir
15543300-9,Rendani sir
15543400-0,Parmezan
15544000-3,Tvrdi sirevi
15545000-0,Sirni namazi
15550000-8,Razni mleèni proizvodi
15551000-5,Jogurt i drugi fermentisani mleèni proizvodi
15551300-8,Jogurt
15551310-1,Nearomatizovani jogurt
15551320-4,Aromatizovani jogurt
15551500-0,Mlaæenica
15552000-2,Kazein
15553000-9,Laktoza ili laktozni sirup
15554000-6,Surutka
15555000-3,Sladoled i slièni proizvodi
15555100-4,Sladoled
15555200-5,Šerbet
15600000-4,"Mlinarski proizvodi, skrob i skrobni proizvodi"
15610000-7,Mlinarski proizvodi
15611000-4,Oljušteni pirinaè
15612000-1,Brašno od žitarica ili povræa i srodni proizvodi
15612100-2,Pšenièno brašno
15612110-5,Integralno brašno
15612120-8,Hlebno brašno
15612130-1,Obièno brašno
15612150-7,Brašno za peciva
15612190-9,Brašno sa dodatkom sredstva za dizanje
15612200-3,Brašno od žitarica
15612210-6,Kukuruzno brašno
15612220-9,Pirinèano brašno
15612300-4,Brašno i griz od povræa
15612400-5,Mešavine za pripremu pekarskih proizvoda
15612410-8,Mešavine za kolaèe
15612420-1,Pekarske mešavine
15612500-6,Pekarski proizvodi
15613000-8,Proizvodi od zrna žitarica
15613100-9,Mleveni ovas
15613300-1,Proizvodi od žitarica
15613310-4,Pripremljene žitarice za doruèak
15613311-1,Kukuruzne pahuljice
15613313-5,Musli ili slièni proizvodi
15613319-7,Ekspandirana pšenica
15613380-5,Ovsene pahuljice
15614000-5,Glazirani pirinaè
15614100-6,Pirinaè dugog zrna
15614200-7,Mleveni pirinaè
15614300-8,Lomljeni pirinaè
15615000-2,Mekinje
15620000-0,Skrob i proizvodi od skroba
15621000-7,Kukuruzno ulje
15622000-4,"Glukoza i proizvodi od glukoze, fruktoza i proizvodi od fruktoze"
15622100-5,Glukoza i proizvodi od glukoze
15622110-8,Glukoza
15622120-1,Glukozni sirup
15622300-7,Fruktoza i proizvodi od fruktoze
15622310-0,Fruktoza
15622320-3,Preparati od fruktoze
15622321-0,Rastvori fruktoze
15622322-7,Fruktozni sirup
15623000-1,Skrob
15624000-8,Tapioka
15625000-5,Brašno od tvrde pšenice
15626000-2,Puding u prahu
15700000-5,Hrana za životinje
15710000-8,Pripremljena hrana za domaæe i druge životinje
15711000-5,Hrana za ribe
15712000-2,Suva stoèna hrana
15713000-9,Hrana za kuæne ljubimce
15800000-6,Razni prehrambeni proizvodi
15810000-9,"Hlebni proizvodi, sveža peciva i kolaèi"
15811000-6,Hlebni proizvodi
15811100-7,Hleb
15811200-8,Kifle
15811300-9,Kroasani
15811400-0,Èajno pecivo
15811500-1,Pripremljeni hlebni proizvodi
15811510-4,Sendvièi
15811511-1,Pripremljeni sendvièi
15812000-3,Peciva i kolaèi
15812100-4,Peciva
15812120-0,Pite
15812121-7,Slane pite
15812122-4,Slatke pite
15812200-5,Kolaèi
15813000-0,Hrana za doruèak
15820000-2,"Dvopek i biskviti, trajno pecivo i kolaèi"
15821000-9,Proizvodi od hleba za tost i peciva
15821100-0,Proizvodi od hleba za tost
15821110-3,Prepreèen hleb (tost)
15821130-9,Hrskavi hleb
15821150-5,Dvopek
15821200-1,Slatki biskviti
15830000-5,Šeæer i srodni proizvodi
15831000-2,Šeæer
15831200-4,Beli šeæer
15831300-5,Javorov šeæer i javorov sirup
15831400-6,Melasa
15831500-7,Šeæerni sirupi
15831600-8,Med
15832000-9,Otpad od proizvodnje šeæera
15833000-6,Proizvodi od šeæera
15833100-7,Poslastice
15833110-0,Kore za torte
